id,text,label
1634458208147324928,@Dariusz_Jonski @SasinJacek @piotr_borys @JaroslawDuda @NewsPlatforma Jprdle i ta menda pokazuje się jeszcze  publicznie😱 https://t.co/O4rv4NxVWV,0
1634457014813224961,@Dariusz_Jonski @SasinJacek @piotr_borys @JaroslawDuda @NewsPlatforma Z https://t.co/5wYSB9lWKq,2
1634450930446868483,@Dariusz_Jonski @SasinJacek @piotr_borys @JaroslawDuda @NewsPlatforma Marzenia ściętych marzeń i cela+ https://t.co/077g5o5eAJ,2
1634449387349786626,@Dariusz_Jonski @SasinJacek @piotr_borys @JaroslawDuda @NewsPlatforma https://t.co/sAlYwzNwqj,2
1634448453634863104,@Dariusz_Jonski @SasinJacek @piotr_borys @JaroslawDuda @NewsPlatforma https://t.co/E6kv8wfQ6n,2
1634447686471385089,@Dariusz_Jonski @SasinJacek @piotr_borys @JaroslawDuda @NewsPlatforma https://t.co/CwZyFKF2qd,2
1634443414627405825,@Dariusz_Jonski @SasinJacek @piotr_borys @JaroslawDuda @NewsPlatforma Wytłumaczcie się Polakom dlaczego w szeregach PO jest tak wiele pedofili.... I takich ludzi na siłę chcecie wprowadzić do przedszkoli i szkół jako instruktorów... NIGDY NIGDY.. Ręce precz od naszych dzieci....!!!!,1
1634437755987001351,"@Dariusz_Jonski @SasinJacek @piotr_borys @JaroslawDuda @NewsPlatforma Ty kurwa ciulu 
Od 2015 ????? https://t.co/XbRxfpVMQh",2
1634437215710314497,@Dariusz_Jonski @SasinJacek @piotr_borys @JaroslawDuda @NewsPlatforma A ta hiena za tobą co tam robi ?,2
1634435486428065792,@Dariusz_Jonski @SasinJacek @piotr_borys @JaroslawDuda @NewsPlatforma https://t.co/CRzNDsvPY4,2
1634434220750667777,@Dariusz_Jonski @SasinJacek @piotr_borys @JaroslawDuda @NewsPlatforma https://t.co/1Tz6Ncknqp,2
1634432330407264256,@Dariusz_Jonski @SasinJacek @piotr_borys @JaroslawDuda @NewsPlatforma Lewackie bałwany 😂😂😂😂😂😂😂😂😂,0
1634428173575135232,@Dariusz_Jonski @SasinJacek @piotr_borys @JaroslawDuda @NewsPlatforma Bo są specjalistami w odróżnieniu od ciebie!!!,0
1634404775415406592,@Dariusz_Jonski @SasinJacek @piotr_borys @JaroslawDuda @NewsPlatforma To video to na pogrzebie zrobione?,0
1634382963402997760,"@Dariusz_Jonski @SasinJacek @piotr_borys @JaroslawDuda @NewsPlatforma Wypierdalaj do Scyrby, Peofilu.",1
1634369408507281408,@Dariusz_Jonski @SasinJacek @piotr_borys @JaroslawDuda @NewsPlatforma czy ty półgłupku nie rozsiewasz za dużo szkodliwego gazu?,0
